screener.SCREENID	screener.NUMBERES	screener.RESNAME1	screener.RESNAME2	screener.RESNAME3	screener.RESNAME4	screener.SLOCNAME	screener.COUNTRY	screener.REGION	screener.SECTOR	screener.SLOCSIZE	screener.TYPE	resource.RESOURID	resource.FK_Screenid	resource.RESNAME1	resource.TYPERES	resource.ANALUNIT	resource.SECTOR1	resource.SECTOR2	resource.SURFAREA	resource.LENGTH	resource.STOREVOL	resource.FLOWVOL	resource.CONTROL	resource.QUALBETR	resource.CONFLICT	resource.VARSPACE	resource.PREDVAR1	resource.VARYEAR	resource.PREDVAR2	resource.VAROTIME	resource.PREDVAR3	oplevel.OPLEVID	oplevel.FK_RESOURID	oplevel.PROBLEM	oplevel.WELLDEFN	oplevel.BOWNCLOS	oplevel.BAPCLOSE	oplevel.BEGDATE	oplevel.ENDDATE	oplevel.ESTNDATE	oplevel.DURATION	oplevel.NEWOPRUL	oplevel.RESCHANG	oplevel.NEWTECH	oplevel.NEWVALUE	oplevel.EXTINCAP	oplevel.NEWGROUP	oplevel.INTCHANG	oplevel.INTERNAL	oplevel.BEGBLNC	oplevel.ENDBLNC	oplevel.BEGRATE1	oplevel.ENDRATE1	oplevel.BEGRATE2	oplevel.ENDRATE2	oplevel.BEGRATE3	oplevel.ENDRATE3	oplevel.BEGQUAL	oplevel.ENDQUAL	oplevel.BEGPOLL	oplevel.ENDPOLL	oplevel.BEGCONDA	oplevel.ENDCONDA	oplevel.BEGCONDD	oplevel.ENDCONDD	oplevel.BEGCONDP	oplevel.ENDCONDP	oplevel.BEGTRUST	oplevel.ENDTRUST	oplevel.EOWNCLOS	oplevel.EAPCLOSE	oplevel.EXTPOLL	oplevel.SEX	oplevel.ETHNCID	oplevel.CLANID	oplevel.RACEID	oplevel.SOCSTRAT	oplevel.RELANIMS	oplevel.COMMLANG	oplevel.CULTVWR	oplevel.OTHRCOMM	oplevel.SOCSANCT	oplevel.PHYSANCT	oplevel.MONSANCT	oplevel.VARSANCT	oplevel.BRIBERY	oplevel.MONPAID	oplevel.NUMSUBGP	oplevel.SUBGP1	oplevel.SUBGP2	oplevel.SUBGP3	oplevel.SUBGP4	oplevel.SG1TOSG2	oplevel.SG1TOSG3	oplevel.SG1TOSG4	oplevel.SG2TOSG3	oplevel.SG2TOSG4	oplevel.SG3TOSG4	oplevel.REALOSER	oplevel.REALYES	oplevel.WORSTOFF	oplevel.RELEQUTY	oplevel.CONDITON	subgroup.SUBGRPID	subgroup.SBGPDES	subgroup.BNUMUSR1	subgroup.ENUMUSR1	subgroup.BNUMUSR2	subgroup.ENUMUSR2	subgroup.SGENDER1	subgroup.SGENDER2	subgroup.SETHID1	subgroup.SETHID2	subgroup.SCLANID1	subgroup.SCLANID2	subgroup.SRACEID1	subgroup.SRACEID2	subgroup.SCASTE1	subgroup.SCASTE2	subgroup.SRELID1	subgroup.SRELID2	subgroup.SLANG1	subgroup.SLANG2	subgroup.SCULTVWR	subgroup.ACCESS	subgroup.WITHDRAW	subgroup.MANAGE	subgroup.EXCLUDED	subgroup.EXCLUDIN	subgroup.RESIDENT	subgroup.KPRESURE	subgroup.FAMINCDE	subgroup.SUBNOT	subgroup.SUBSIM	subgroup.AVERINC	subgroup.SUBVAR	subgroup.LONGVAR	subgroup.ASSETS	subgroup.ALTSUPLY	subgroup.SUBWHERE	subgroup.OLSON	subgroup.RULEFOLL	subgroup.RULEBRAK
50121	1	Kheri Irrigation				Kheri Village	Tanzania	Africa	5	2590000	-1	50121.1	50121	Kheri Irrigation	2	2	5		0	0	0		1.4	-2	0	1.4	2.3	1.5	3.3	1.4	4.3	6.1	50121.1	8	1	1	2	1870	1955	1955	6	1	4	1	1	1	1	2		-1	3.4	-2	-2	-1	2600000	-1	-1	-1	3.3	-1	1.3	-1	1.4	-2	-2	-1	1.4	-1	1.4	-2	-2	2.5	2.3	1.3	2.3	1.3	1.3	1.3	1.3	1.3	1.3	2.3	4.2	2.3	2.4	4.2	11000.5	4	7.1	8.1	9.1	10.1	12222.3	12122.3	11122.3	12122.3	11122.3	11122.3	1	The "clients" could get water only after the rights holders had got enough and were willing to sell them water rights on a temporal basis.	-1	2.3	0	8.1	Minor Wenamiji - individuals who held hereditary rights, but have no control over the irrigation system.	18.2	18.5	1.2	1.5	1.3	0%	1.3	Sonjo	2.3		1.3		1.3		1.3		1.3		1.3	1.5	1.5	3.4	3.4	3.3	6.5	-2	1.4	1.3	1.4	4.3	1.4	1.3	6.2	4.3	2.4	1.2	1.4	1.3
50121	1	Kheri Irrigation				Kheri Village	Tanzania	Africa	5	2590000	-1	50121.1	50121	Kheri Irrigation	2	2	5		0	0	0		1.4	-2	0	1.4	2.3	1.5	3.3	1.4	4.3	6.1	50121.1	8	1	1	2	1870	1955	1955	6	1	4	1	1	1	1	2		-1	3.4	-2	-2	-1	2600000	-1	-1	-1	3.3	-1	1.3	-1	1.4	-2	-2	-1	1.4	-1	1.4	-2	-2	2.5	2.3	1.3	2.3	1.3	1.3	1.3	1.3	1.3	1.3	2.3	4.2	2.3	2.4	4.2	11000.5	4	7.1	8.1	9.1	10.1	12222.3	12122.3	11122.3	12122.3	11122.3	11122.3	1	The "clients" could get water only after the rights holders had got enough and were willing to sell them water rights on a temporal basis.	-1	2.3	0	9.1	Wakiama - individuals who obtained temporary rights, through paying tribute to the wenamiji	-1	23.4	-1	1.5	1.3	0%	1.3	Sonjo	2.3		1.3		1.3		1.3		1.3		1.3	1.5	1.5	3.5	3.5	3.4	6.5	-2	-1	-1	-1	4.3	1.4	1.3	6.2	4.3	2.4	1.2	1.4	1.3
50121	1	Kheri Irrigation				Kheri Village	Tanzania	Africa	5	2590000	-1	50121.1	50121	Kheri Irrigation	2	2	5		0	0	0		1.4	-2	0	1.4	2.3	1.5	3.3	1.4	4.3	6.1	50121.1	8	1	1	2	1870	1955	1955	6	1	4	1	1	1	1	2		-1	3.4	-2	-2	-1	2600000	-1	-1	-1	3.3	-1	1.3	-1	1.4	-2	-2	-1	1.4	-1	1.4	-2	-2	2.5	2.3	1.3	2.3	1.3	1.3	1.3	1.3	1.3	1.3	2.3	4.2	2.3	2.4	4.2	11000.5	4	7.1	8.1	9.1	10.1	12222.3	12122.3	11122.3	12122.3	11122.3	11122.3	1	The "clients" could get water only after the rights holders had got enough and were willing to sell them water rights on a temporal basis.	-1	2.3	0	10.1	Clients - individuals who had no primary rights but must apply for secondary water rights to individuals with primary rights	-1	70.3	-1	3.4	1.3	0%	1.3	Sonjo	2.3		1.3		1.3		1.3		1.3		1.3	1.5	1.5	3.5	3.5	3.5	6.5	-2	-1	1.3	-1	2.3	1.3	2.2	2.2	4.3	3.4	2.3	1.4	1.3
50146	1	Sananeri Tank				Sananeri	India	Middle East & South Asia	5	1740000	-1	50146.1	50146	Sananeri Tank	2	2	5		390000.5	0	402400.5		1.5	1.3	0	1.3	3.3	1.5	3.3	1.3	4.3	7.1	50146.1	7	1	-1	2	1950	1982	1982	4	-1	-1	-1	-1	-1	-1	-1		-1	1.3	-2	-2	-1	1738400	-1	-1	-1	3.3	-1	1.3	-1	1.3	-1	-1	-1	-1	-1	1.3	-2	-2	2.3	2.3	2.3	2.3	1.3	2.3	2.3	1.3	1.3	1.3	-1	-1	2.3	-1	-1	10000.4	1	11.1	0	0	0	44444	44444	44444	44444	44444	44444	-1		2.2	2.3	0	11.1	All appropriators of this resource.	150	150	4.2	4.4	2.3		2.3		2.3		1.3		2.3	Vellalas	2.3	Hindu, Muslim, and Christian	1.3		1.3	1.4	1.4	2.4	1.3	3.2	6.2	-2	1.3	-1	4.3	3.3	2.3	1.3	5.3	2.4	-2	1.3	1.4	1.3
10123	5	Ayvalik-Haylazli Coop Lagoon, Turkey	Alanya Fishery, Turkey	Tasucu Bay Fishery, Turkey	Bay of Bodrum Fishery, Turkey	Ayvalik-Haylazli Lagoon	Turkey	Middle East & South Asia	1	20000000	-2	10123.1	10123	Ayvalik-Haylazli Coop Lagoon, Turkey	1	2	1		16000000.5	0	0		2.5	-2	1	1.3	4.3	1.3	-1	1.3	4.3	8.1	10123.1	2	1	1	0	1974	0	1985	3	2	1	1	1	1	2	2		-1	4.4	-1	105	-2	-2	-2	-2	2.4	2.5	-1	1.4	-2	-2	-2	-2	-2	-2	1.2	1.3	1.5	1.5	2.3	2.3	1.4	-1	1.4	2.3	-1	1.4	2.3	-1	-1	4.3	-2	-1	-2	-1.	1	12.1	0	0	0	44444	44444	44444	44444	44444	44444	2.4		2.4	-1	0	12.1	Members of the Ayvalik-Haylazli co-op.	-1	103	-1	3.5	1.5	0%	1.5		-2		1.5		-2		-1		1.5	Turkish	1.5	1.5	1.5	1.5	1.5	3.5	6.5	2.4	1.4	6.5	1.5	3.3	1.3	-1	6.4	-1	-2	1.4	1.4	-1
50137	0	Argali Raj Kulo Irrigation (Jethi Kulo)				Palpa	Nepal	Middle East & South Asia	0	0	2.5	50137.1	50137	Argali Raj Kulo Irrigation (Jethi Kulo)	2	2	5		0	0	0		1.4	-2	0	2.2	-2	1.5	3.3	-1	-2	9.1	50137.1	8	1	1	2	0	1982	1982	3	1	4	1	1	1	1	2	2	2.2	4.4	-2	480000.5	-1	940000.2	-1	-1	3.2	3.3	1.2	1.3	3.2	1.4	3.2	1.4	3.2	1.4	-1	1.4	-2	-2	2.3	1.3	2.3	2.3	1.3	2.3	2.3	1.3	1.3	1.3	1.3	2.2	1.5	1.4	-1	4.4	2	13.1	14.1	0	0	11111.4	44444	44444	44444	44444	44444	1.3	Those who do not own lands that accompany water rights.	2.2	2.3	2.3	13.1	All members of the Raj Kulo irrigation organization - those operating land which receives a water allocation from the Raj Kulo for the monsoon rice.	-1	159	4.3	4.5	1.3		2.3		2.3		1.3		2.3	Brahmins	2.3		1.3		1.3	1.5	1.5	1.5	1.3	-1	6.4	-2	1.3	-1	-1	4.3	1.2	1.3	6.3	-1	1.4	1.4	1.4	1.3
50137	0	Argali Raj Kulo Irrigation (Jethi Kulo)				Palpa	Nepal	Middle East & South Asia	0	0	2.5	50137.1	50137	Argali Raj Kulo Irrigation (Jethi Kulo)	2	2	5		0	0	0		1.4	-2	0	2.2	-2	1.5	3.3	-1	-2	9.1	50137.1	8	1	1	2	0	1982	1982	3	1	4	1	1	1	1	2	2	2.2	4.4	-2	480000.5	-1	940000.2	-1	-1	3.2	3.3	1.2	1.3	3.2	1.4	3.2	1.4	3.2	1.4	-1	1.4	-2	-2	2.3	1.3	2.3	2.3	1.3	2.3	2.3	1.3	1.3	1.3	1.3	2.2	1.5	1.4	-1	4.4	2	13.1	14.1	0	0	11111.4	44444	44444	44444	44444	44444	1.3	Those who do not own lands that accompany water rights.	2.2	2.3	2.3	14.1	Farmers who are not members of the Raj Kulo irrigation organization, but acquire water from the Raj Kulo during the winter wheat season and for maize planting in exchange for working on the system.	-1	-1	3.1	3.1	1.3		2.3		2.3		1.3		2.3		2.3		1.3		1.3	1.3	1.4	3.5	3.5	3.5	6.3	-2	3.2	5.1	5.1	2.2	-1	-1	-1	2.1	2.3	2.3	1.2	1.2
50126	0	Chherlung Thulo Kulo Irrigation				Palpa	Nepal	Middle East & South Asia	0	0	2.5	50126.1	50126	Chherlung Thulo Kulo Irrigation	2	2	5		0	0	0	180.4	1.5	-2	0	2.3	-2	1.5	3.3	-1	-1	10.1	50126.1	8	1	1	2	1932	1982	1982	5	1	2	1	1	1	1	1		2.3	3.5	-2	400000.5	80000.2	390000.4	-1	-1	3.3	3.3	1.4	1.4	2.3	2.4	2.3	2.4	2.3	2.4	1.4	1.4	-2	-2	2.3	1.3	2.3	2.3	1.3	2.3	2.3	1.3	1.3	1.3	1.3	2.2	1.5	1.4	-1	00010.5	1	15.1	0	0	0	44444	44444	44444	44444	44444	44444	2.3		2.4	3.4	2.3	15.1	All shares holders of the irrigation organization.	-2	105	1.3	4.5	1.3		2.3	Brahmin	2.3		1.3		2.3		2.3		1.3		1.3	1.5	1.5	1.5	-1	-1	6.5	-2	1.4	-1	-1	3.3	1.3	1.3	6.3	-1	-2	1.3	1.4	1.5
50122	2	Kottapalle - Irrigation	Kottapalle - Grazing Land			Kottapalle	India	Middle East & South Asia	5	4860000	-1	50122.1	50122	Kottapalle - Irrigation	2	2	5	221	0	0	0		1.5	-2	-2	1.5	3.3	1.5	3.3	1.3	4.3	11.1	50122.1	5	1	1	2	0	1982	1982	4	1	1	1	1	1	1	2		-1	2.3	-2	-2	-1	5000000	-1	-1	-1	3.3	-1	1.3	-1	2.3	-1	3.2	-1	3.2	-1	2.3	-2	-2	2.3	2.3	2.3	2.3	2.3	2.3	2.3	1.3	1.3	1.3	2.3	4.3	2.3	1.5	3.3	10000.5	1	16.1	0	0	0	44444	44444	44444	44444	44444	44444	2.3		2.3	2.3	0	16.1	All the irrigators of the village	-1	800.3	-1	6.3	2.3		2.3		2.3		2.3		2.3	Reddy	2.3		1.3		1.3	1.5	1.5	2.4	2.4	3.2	6.5	-2	1.3	-1	1.3	3.4	2.3	2.3	5.4	4.3	-2	1.3	1.4	1.4
10125	5	Tasucu Bay Fishery, Turkey	Bay of Bodrum Fishery, Turkey	Bay of Izmir Fishery, Turkey	Ayvalik-Haylazli Coop Lagoon, Turkey	Tasucu	Turkey	Middle East & South Asia	1	150000000	-2	10125.1	10125	Tasucu Bay Fishery, Turkey	1	2	1		150000000.5	0	0		2.5	-2	-2	1.5	2.4	1.4	2.4	1.4	4.4	12.1	10125.1	2	1	3	3	1968	1983	-2	3	2	1	1	1	1	1	1	NUMAPPR	3.4	3.3	180	180	-2	-2	-2	-2	2.3	2.5	1.5	1.4	3.3	2.5	-1	-1	-1	-1	1.5	1.4	3.4	2.4	2.4	-1	1.4	2.4	1.5	4.4	1.5	1.5	4.4	1.3	1.4	5.4	-2	3.4	-2	-2.	1	17.1	0	0	0	44444	44444	44444	44444	44444	44444	2.4		2.4	2.4	0	17.1	The members of the Tasucu co-op.	-1	140	-1	4.5	1.4	0%	1.4		-2		1.4		-2		-1		1.5	Turkish	1.5	1.5	1.5	1.5	2.3	2.2	6.3	2.4	1.3	-1	1.4	4.3	1.3	-1	4.3	-1	-2	1.3	1.4	-2
